"0hrB2iwQZ52VZcZWYywXrA,ZL6DNzyenFm9Kpz6uADlNg"	[0.0075, 0.0225, 0.0008333333333333334, 0.11111111111111112, 4.938271604938272]
"1qCuOcks5HRv67OHovAVpg,2SwC8wqpZC4B9iFVTgYT9A"	[0.0125, 0.0955, 0.0008333333333333334, 0.06666666666666667, 0.6980802792321117]
"1qCuOcks5HRv67OHovAVpg,3gmBc0qN_LtGbZAjTtHWZg"	[0.0125, 0.008, 0.0008333333333333334, 0.06666666666666667, 8.333333333333334]
"1qCuOcks5HRv67OHovAVpg,6ilJq_05xRgek_8qUp36-g"	[0.0125, 0.016, 0.0008333333333333334, 0.06666666666666667, 4.166666666666667]
"1qCuOcks5HRv67OHovAVpg,B9C6j80ob0f1pwi1Cnnd1Q"	[0.0125, 0.011, 0.0008333333333333334, 0.06666666666666667, 6.0606060606060606]
"1qCuOcks5HRv67OHovAVpg,EoAY1JSVeJriBzId8lUQwQ"	[0.0125, 0.023, 0.0016666666666666668, 0.13333333333333333, 5.797101449275362]
"1qCuOcks5HRv67OHovAVpg,ISKLP0qxApATxRlUDob6Cg"	[0.0125, 0.0065, 0.0008333333333333334, 0.06666666666666667, 10.256410256410257]
"1qCuOcks5HRv67OHovAVpg,JDDeaNfb0JXD1NbznSIC9g"	[0.0125, 0.0295, 0.0025, 0.19999999999999998, 6.779661016949152]
"1qCuOcks5HRv67OHovAVpg,LiMXTPwanF3LkkKHklFCjw"	[0.0125, 0.0145, 0.0008333333333333334, 0.06666666666666667, 4.597701149425287]
"1qCuOcks5HRv67OHovAVpg,MKyk4F4HSzHF8v-4cYe3Ww"	[0.0125, 0.013, 0.0008333333333333334, 0.06666666666666667, 5.128205128205129]
"1qCuOcks5HRv67OHovAVpg,McikHxxEqZ2X0joaRNKlaw"	[0.0125, 0.0415, 0.0016666666666666668, 0.13333333333333333, 3.21285140562249]
"1qCuOcks5HRv67OHovAVpg,PzG0XmAmtXFs6Fdnubf41g"	[0.0125, 0.068, 0.0008333333333333334, 0.06666666666666667, 0.9803921568627451]
