--1emggGHgoG6ipd_RMb-g,4
--4Pe8BZ6gj57VFL5mUE8g,5
--5jkZ3-nUPZxUvtcbr8Uw,50
--7PRjnsjMA6uhPK8mW13Q,3
--BlvDO_RG2yElKu9XA1_g,71
--Dl2rW_xO8GuYBomlg9zw,7
--NCcmQqh_NZbjW1S5XsGQ,5
--Ol5mVSMaW8ExtmWRUmKA,4
--UE_y6auTgq3FXlvUMkbw,88
--WLj8iK9DUKxkPnMHAoeA,3
--XBxRlD92RaV6TyUnP8Ow,4
--Y_2lDOtVDioX5bwF6GIw,26
--jFTZmywe7StuZ2hEjxyA,4
--m1g9P1wxNblrLANfVqlA,4
--nQiUBxtpjd_ZBuO_PH6w,3
--pOlFxITWnhzc7SHSIP0A,103
--qeSYxyn62mMjWvznNTdg,4
--sSW-WY3vyASh_eVPGUAw,4
--zgHBiQpr8H2ZqSdGmguQ,5
-024YEtnIsPQCrMSHCKLQw,4
-05qMWbhAtrD6EiV-UElPg,4
-0Ackw6MF82PXO9f9Jh_Kg,202
-0D_CYhlD2ILkmLR0pBmnA,8
-0GkcDiIgVm0XzDZC8RFOg,89
-0HGqwlfw3I8nkJyMHxAsQ,5
-0QBrNvhrPQCaeo7mTo0zQ,3
-0VK5Z1BfUHUYq4PoBYNLw,4
-0ZDRoepf3gwd9fpsw1bRQ,54
-0bUDim5OGuv8R0Qqq6J4A,7
-0bl9EllYlei__4dl1W00Q,5
-0lOuL7RkZQnjAl96dXTvA,4
-0lRv242OzyPUB8c5E_UhQ,8
-0tJ4FwcNtJjil-ZUTy30Q,3
-0xwm_AwS0d_5rwUprHGuw,25
-0zqgYIic5BUprV1xAabDg,3
-1B-DEGkLE1kDj5ENAF2NQ,7
-1BzcQK-HDA6LVOThHMpsw,10
-1ERbsOf9XOC9wGbZYFr7g,133
-1HFRXSGTZwFe3LTO2LfbA,1
-1JzlIdItrARuq2JW63rKA,57
-1Lu6lHl7S4_6tAOB8f9ig,8
-1N0Z3uM8xbxKS8XiAnaog,3
-1NcH1ArxlnMncpLzu7kFQ,15
-1bOb2izeJBZjHC7NWxiPA,83
-1lvWTeV_RI1weq8FTnPRw,49
-1oj6-fkP-iO6OyW8QBqPg,23
